event,n treated,n control,DiD cens,SE cens,p cens (Welch),p cens (MW),DiD gap,SE gap,p gap (Welch),p gap (MW)
placebo_2018,91,42,0.042291578477102534,0.007722151991785195,2.1773052073139213e-07,1.7051015950591926e-07,0.021080591044914068,0.011765390993895768,0.07620391245764725,0.02304839228049653
band_2020,174,51,-0.04630202003551736,0.004973953937870216,1.0865109351454691e-15,5.591461575977999e-16,-0.04344864053990648,0.009693997535790193,2.627876022427416e-05,5.215708978799727e-07
band_2024,208,15,-0.030819712909151302,0.003733639091094968,7.270348107508805e-11,6.003694014941498e-07,0.0029441241852559514,0.014883694072253597,0.845803424158858,0.06428957598640372
