outcome,DiD 2020,|placebo|,bound M=1 low,bound M=1 high,breakdown M*
cens,-0.04702379027570976,0.04134598167424484,-0.0883697719499546,-0.005677808601464926,1.137324314759268
gap,-0.04500840863475922,0.02425223730515247,-0.06926064593991169,-0.02075617132960675,1.8558456305883595
