symbol,censor_rate,alpha_gap,floor_binds
786,0.02666666666666667,0.03128153952922186,0.8606060606060606
AABS,0.0161892901618929,0.004356701190553244,0.0
ABL,0.004032258064516129,0.016067589047320446,0.0
ABOT,0.00688298918387414,0.0024045144110704936,0.0
ACPL,0.014534883720930232,0.02139561490809272,0.0
ADAMS,0.04648074369189907,0.045113688354373904,0.0
ADMM,0.043721973094170405,0.03086445626002532,0.0
ADOS,0.11382113821138211,0.10145732301637334,0.02434077079107505
AGHA,0.011350737797956867,8.535391434513762e-05,0.33938706015891035
AGIC,0.005980861244019139,0.0018521980396775939,0.0
AGIL,0.025821596244131457,0.0031034589213300295,0.0
AGL,0.030947775628626693,0.008228960598979818,0.902321083172147
AGP,0.017408123791102514,0.026654568888819785,0.0
AGSML,0.03054989816700611,0.21400281837038054,0.9266802443991853
AGTL,0.015873015873015872,0.013866178180064831,0.0
AHCL,0.015384615384615385,0.01547688271751091,0.0
AHL,0.023414634146341463,0.023838734109117105,0.0
AICL,0.005888125613346418,0.022490227288789272,0.0
AIRLINK,0.04236006051437216,0.03729995338725209,0.0
AKBL,0.0048543689320388345,0.002815375427946437,0.00968054211035818
AKDHL,0.0693950177935943,0.0804640780181538,0.0
AKDSL,0.04954954954954955,0.0030148445589474604,0.191904047976012
ALAC,0.010309278350515464,-0.0013889104295090743,1.0
ALIFE,0.05238095238095238,0.03154201296696324,0.016666666666666666
ALNRS,0.16701461377870563,0.006755944206541478,0.0
ALTN,0.0332541567695962,0.01915746271484181,0.024822695035460994
AMBL,0.1,0.05728274229124025,0.0
ANL,0.027079303675048357,0.01821747599495832,0.6112185686653772
APL,0.005819592628516004,0.012916336275257567,0.0
ARCTM,0.17735849056603772,0.21503854857317956,0.7358490566037735
ARPL,0.0,6.148514614112699e-09,0.0
ASC,0.01936108422071636,0.014703067042967422,0.6460348162475822
ASHT,0.21411764705882352,0.18033062543503361,0.8164705882352942
ASL,0.006769825918762089,-0.0011522238420148961,0.6160541586073501
ASTL,0.025145067698259187,0.006497163476523418,0.0
ASTM,0.06353240152477764,0.1708536058871423,0.9034307496823379
ATBA,0.0533462657613967,0.019380557621993866,0.0
ATIL,0.0036275695284159614,0.025307625367098574,0.0
ATLH,0.01405152224824356,0.03228702080044554,0.0
ATRL,0.025145067698259187,0.01281452663664423,0.0
AVN,0.0369290573372206,0.02018051335868072,0.0
BAFL,0.005808325266214908,0.006534385855852809,0.0
BAHL,0.005825242718446602,0.002047116099994542,0.0
BAPL,0.11741935483870967,0.13220436636947466,0.4916129032258065
BATA,0.008883248730964468,0.0037869216402278,0.0
BCL,0.05093555093555094,0.048746864977948307,0.0
BECO,0.02533532041728763,0.015619819461417134,0.6110283159463488
BERG,0.03803803803803804,0.03503233366249625,0.0
BGL,0.0425531914893617,0.08569334032857989,0.8955512572533849
BIFO,0.02167487684729064,0.007557106909008168,0.0
BILF,0.003293084522502744,-0.004418829837666616,1.0
BIPL,0.01842870999030068,0.02114330747216303,0.6317829457364341
BML,0.0009689922480620155,0.005907255057029714,1.0
BNL,0.059496567505720827,0.1977806642221538,0.024
BNWM,0.04450261780104712,0.0642828476027745,0.0
BOK,0.02014218009478673,0.00890748394194596,0.37514792899408284
BOP,0.0019342359767891683,0.008247025482419401,1.0
BPL,0.06537890044576523,0.08881764053497282,0.0
BTL,0.09741550695825049,0.022693533049019332,0.0
BUXL,0.12984054669703873,0.16732905087617256,0.0
BWCL,0.0038910505836575876,0.0006180062472167652,0.0
BWHL,0.13901345291479822,0.08626069546215759,0.0
CENI,0.05113636363636364,0.06385754340813954,0.0
CEPB,0.014605647517039922,0.022056891845184223,0.0
CHAS,0.054773082942097026,0.008653156317547192,0.0
CHCC,0.02611218568665377,0.01762141459113503,0.0
CLOV,0.07115009746588694,0.11984980458871453,0.024366471734892786
CLVL,0.056179775280898875,0.06180348909292613,0.7756410256410257
CNERGY,0.006769825918762089,0.004286493473205477,1.0
COLG,0.019585253456221197,0.029228511985840033,0.0
CPHL,0.028208744710860368,0.02570797099379843,0.0
CPPL,0.022840119165839126,0.034137908092252006,0.0
CRTM,0.015655577299412915,0.022785856838891505,0.15362035225048923
CSAP,0.04191033138401559,0.015884604863729238,0.0
CSIL,0.0,4.0661698619270936e-08,1.0
CTM,0.0029791459781529296,0.000578359524420119,1.0
CYAN,0.035196687370600416,0.0337405338154515,0.0
DAAG,0.1895093062605753,0.183418908930776,0.2436548223350254
DADX,0.14428857715430862,0.07682231395965076,0.0
DCL,0.015473887814313346,-0.0002495295715406187,0.9961315280464217
DCR,0.0,-2.229890255778244e-08,0.46421663442940037
DEL,0.04021739130434782,0.07163311312799714,0.8523344191096635
DFML,0.06673114119922631,0.030213565900048006,0.7669245647969052
DFSM,0.0029154518950437317,0.0034357004630517773,1.0
DGKC,0.014506769825918761,0.0016444354969440134,0.0
DLL,0.014900662251655629,0.0032705383561715956,0.0
DNCC,0.05233380480905234,0.023071235130387086,0.7358757062146892
DOL,0.040737148399612025,0.047437812772160914,0.0
DSIL,0.0009737098344693282,0.003511531009306762,1.0
DSL,0.0029013539651837525,0.0016679480841193528,1.0
DWSM,0.004561003420752566,-0.001767255873619561,1.0
DYNO,0.026737967914438502,0.012825651733892884,0.0
ECOP,0.055853920515574654,0.032305793903893654,0.04930332261521972
EFERT,0.001936108422071636,-0.0010081232935622297,0.0
EFUG,0.0045871559633027525,-0.004767719911313029,0.0
EFUL,0.001443001443001443,-0.001220706926891732,0.0
ELSM,0.12444444444444444,0.026681344511749944,0.0
EMCO,0.061366806136680614,0.04023297571095527,0.0
ENGRO,0.003872216844143272,0.012878583012223499,0.0
ENGROH,0.014763779527559055,0.03001663429043655,0.0
EPCL,0.011650485436893204,0.0002803079833038902,0.0
EPQL,0.01745877788554801,0.008147813624261119,0.0
ESBL,0.019527235354573486,0.015521408560039834,0.9886947584789312
EXIDE,0.0506454816285998,0.029486663426304294,0.0
FABL,0.012584704743465635,0.01585796296406046,0.029013539651837523
FASM,0.06666666666666667,-0.001963566473432904,0.0
FATIMA,0.002909796314258002,-0.004951741479968352,0.0
FCCL,0.011616650532429816,0.0051688258209198895,0.22823984526112184
FCEPL,0.02127659574468085,0.01592856881300475,0.0
FCIBL,0.16173120728929385,0.34776271728560254,0.9635535307517085
FCSC,0.0,-1.598331328400704e-08,1.0
FDPL,0.001951219512195122,0.004712801290481267,1.0
FECTC,0.053452115812917596,0.030695203394988796,0.0
FEROZ,0.029182879377431907,0.03520157887616582,0.0
FFBL,0.027105517909002903,-0.0008714224840590257,0.10348162475822051
FFC,0.0029013539651837525,-0.00019667983217622198,0.0
FFL,0.010648596321393998,0.005752036047400988,0.7176015473887815
FLYNG,0.03581800580832527,0.05390495248558827,0.8636363636363636
FML,0.028132992327365727,0.018774658205377215,0.0
FNEL,0.047388781431334626,0.09591853312710807,0.8065764023210832
FRCL,0.13454545454545455,0.10034615167990057,0.14909090909090908
FRSM,0.04661654135338346,0.06630078928647143,0.0
FZCM,0.060029282576866766,0.08745057398083492,0.0
GADT,0.02544529262086514,0.00013600539115188326,0.0
GAIL,0.01078167115902965,0.001472082526782506,1.0
GAL,0.06582768635043562,0.03419428255450227,0.0
GAMON,0.1111111111111111,0.039744016611903785,0.6863572433192686
GATI,0.14157973174366617,0.02547594384310234,0.0
GATM,0.01744186046511628,0.023323088776570466,0.0
GCIL,0.023872679045092837,0.013331042350154504,0.9285714285714286
GFIL,0.02132998745294856,0.010855387179078205,0.998745294855709
GGGL,0.03291384317521781,0.012181648892081731,0.6131528046421664
GGL,0.049466537342386034,0.0237430079862489,0.41005802707930367
GHGL,0.009708737864077669,0.015534222595479874,0.0
GHNI,0.05609284332688588,0.01581821689669105,0.0
GLAXO,0.00872093023255814,0.01034547779339573,0.0
GLPL,0.041025641025641026,0.053817266374810296,0.0
GRYL,0.026748971193415638,0.02518509698140442,1.0
GSKCH,0.012893982808022923,0.009939859494986991,0.0
GTYR,0.02422480620155039,-0.005392513014328637,0.0
GVGL,0.02112676056338028,0.022412300171128163,0.0
GWLC,0.03564356435643564,0.037933711682505256,0.005940594059405941
HABSM,0.010787486515641856,0.009267152669170414,0.0
HAEL,0.08881578947368421,0.17212839845904904,0.9572368421052632
HASCOL,0.029013539651837523,0.07499368459892636,0.7998065764023211
HBL,0.007736943907156673,0.023152056917589814,0.0
HCAR,0.031914893617021274,0.02287524243753669,0.0
HICL,0.0029985007496251873,0.01640788487413153,1.0
HINO,0.04524361948955916,0.0744046729617415,0.0
HINOON,0.005859375,0.0006984660432685919,0.0
HIRAT,0.0020491803278688526,0.0022698072626866628,1.0
HMB,0.0029615004935834156,6.852792192210688e-05,0.0
