symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
BYCO,1297,0.01927525057825752,5.954446657902724e-05,0.13177919853761064,0.8090503106898547,2781.9827707082122,True,6.433650210394505e-05,0.1489837497553455,0.7965209909105903,2672.470713112197,True,6.965034367479168e-05,0.13962203051696415,0.793174307260172,2669.520212570436,True,0.00784283197935351,0.01720455121773487,False,
CASH,500,0.106,0.000422660991016221,0.12140353976057978,0.6995154198953675,810.4014317105,True,0.0004351431912673957,0.17940064107894926,0.7058019894925702,616.0774874608783,True,0.00039148814244402067,0.1436639371977478,0.7266714693438184,619.774090033268,True,0.022260397437168025,0.05799710131836948,False,
CCM,1036,0.12065637065637065,0.00027514691586211194,0.14249492028789806,0.6931182325835863,1876.650055563729,True,0.0004422755212419425,0.26899748411836655,0.5851184946895867,1404.6600414542188,True,0.0004512701183697223,0.21420679440745907,0.5822401396596244,1411.284376566875,True,0.07171187411956101,0.12650256383046848,False,
CENI,1542,0.04345006485084306,3.294060889869777e-05,0.11472614934816337,0.8522669093338128,3317.2728196706744,True,4.187654589611072e-05,0.16829961654166575,0.8117557393195012,3039.359907628984,True,3.1522852218089474e-05,0.11480479997424903,0.8567010943527448,3038.146734137982,True,7.86506260856551e-05,0.05357346719350238,False,
CEPB,2457,0.035002035002035005,8.161407585431051e-05,0.12092948495964431,0.7549494150373228,5606.621685146054,True,8.919224999536331e-05,0.1518541427742462,0.7341003003002791,5219.99009374457,True,9.265570049484483e-05,0.13607306819760073,0.7339137392734509,5220.867713486802,True,0.01514358323795642,0.03092465781460188,False,
CFL,737,0.17096336499321574,0.00017601966512565052,0.2508642203095764,0.6567449148830286,1367.7081832779772,True,0.00023302922997109425,0.3986691812147955,0.6013308187851918,924.9509195868856,True,0.00019814414306294867,0.3078517664110779,0.636355543132803,932.7332998587974,True,0.05698754610150153,0.1478049609052191,False,
CHAS,1885,0.07214854111405836,5.827537996128156e-05,0.08633949525726567,0.8649708618033867,3743.3006552521956,True,0.00019640825630945185,0.17149206365011477,0.7065341915823908,3183.0526270536125,True,0.0002967868572678308,0.17058016502130102,0.611883633449261,3184.8792395629084,True,0.08424066976403535,0.0851525683928491,False,
CHBL,886,0.03837471783295711,0.0003649750678559262,0.2188133096061429,0.6296508428771994,1507.0339520783205,True,0.0003420388401852029,0.2990907187886136,0.6154459332213622,1386.497855561185,True,0.0004289874182673756,0.26637819174705724,0.578943250435527,1387.3677702860987,True,0.04756488214091434,0.0802774091824707,False,
CHCC,2469,0.040097205346294046,5.547648694878866e-05,0.12476460127253886,0.7957575673220044,5611.527856521227,True,5.632944373225892e-05,0.15920764460916573,0.7824717226956821,5183.867759500547,True,6.127925243375301e-05,0.14458273172806382,0.7775301241050789,5192.31487919431,True,0.019818130455524968,0.03444304333662687,False,
CJPL,816,0.05759803921568627,0.0014933999526921796,0.20150654493280834,0.3436643955251062,1201.2599835190986,True,0.00158279665935599,0.2982516779996188,0.31995820693479243,1036.0743418612713,True,0.0016079143590650088,0.2778201713393509,0.3097618836490387,1041.5882787190355,True,0.07631362640654255,0.09674513306681048,False,
CLOUD,1905,0.048818897637795275,0.00020787732536687995,0.11930448424450539,0.8268570354068744,2790.269531736403,True,0.00016100870061908068,0.15702930115842362,0.8280526776642596,2501.5954789199986,True,0.0002296974571259965,0.1499270934700898,0.8019346839871994,2521.2617226085245,True,0.03062260922558442,0.03772481691391823,False,
CLOV,2454,0.1071719641401793,0.00015077913573113415,0.2387656932423702,0.6144188127022805,5166.299978233351,True,0.00018491908605911943,0.4976802917780161,0.5023197082197349,4145.377924993383,True,0.00022497625441305155,0.40126142672661896,0.464378999313496,4180.834330774133,True,0.16249573348424876,0.2589145985356459,False,
CLVL,1201,0.06910907577019151,0.00040157999830268737,0.2677426722508792,0.5164671771313709,2161.9008865921305,True,0.00036059395880487836,0.4483240882534905,0.4884079043276862,1877.013196687448,True,0.00043285942553281,0.4074845380090146,0.4420180287628185,1898.6230379841036,True,0.13974186575813535,0.1805814160026113,False,
